Degree,Count
3,4
4,14
5,18
6,16
7,19
8,22
9,16
10,26
11,18
12,16
13,17
14,17
15,11
16,5
17,15
18,6
19,6
20,12
21,9
22,12
23,13
24,6
25,10
26,11
27,7
28,10
29,4
30,6
31,7
32,8
33,10
34,10
35,8
36,4
37,9
38,15
39,8
40,14
41,8
42,12
43,10
44,9
45,10
46,9
47,10
48,13
49,10
50,15
51,10
52,12
53,8
54,11
55,6
56,3
57,8
58,8
59,6
60,4
61,5
62,7
63,6
64,9
65,5
66,5
67,6
68,8
69,8
70,9
71,8
72,8
73,5
74,5
75,5
76,6
77,7
78,8
79,9
80,5
81,9
82,5
83,3
84,9
85,5
86,3
87,4
88,6
89,2
90,3
91,3
92,6
93,3
94,4
95,8
96,2
97,4
98,3
99,4
100,2
101,4
102,2
103,8
104,6
105,5
106,2
107,7
108,4
109,3
110,3
111,2
112,1
113,3
114,4
116,2
117,4
118,2
119,2
121,1
122,5
123,1
124,3
125,4
126,2
127,1
128,2
130,1
131,2
132,2
133,3
134,2
136,4
138,2
139,1
140,1
141,1
142,3
143,2
144,3
146,2
147,1
149,2
150,1
151,2
152,1
153,1
155,3
156,3
157,1
158,2
159,1
162,1
163,2
164,1
165,1
166,1
167,2
170,2
174,1
175,2
176,2
178,1
179,3
180,1
181,1
182,1
183,2
184,1
187,1
189,1
190,1
191,2
192,2
195,1
196,5
197,1
199,1
202,1
204,1
205,1
210,1
211,1
212,2
214,1
215,1
216,1
217,1
218,1
221,1
222,1
228,2
229,1
231,2
233,1
234,1
237,1
239,1
241,1
242,2
243,2
247,2
249,1
251,1
254,1
257,1
258,1
259,1
263,1
266,2
268,1
277,1
280,1
285,2
286,2
289,2
290,1
293,1
294,2
302,1
303,1
306,2
313,1
315,1
316,1
320,1
321,1
322,1
324,2
330,1
333,1
337,1
339,1
340,1
343,1
345,1
355,2
358,1
369,1
370,1
373,1
378,1
379,1
385,1
396,1
397,1
404,1
431,1
446,1
471,1
478,1
495,1
526,1
529,1
547,1
562,1
573,1
618,1
643,1
710,1
749,1
758,1
783,1
834,1
885,1
935,1
999,1
1022,1
1232,1
1241,1
1253,1
1481,1
1484,1
